sector,jun_2015,jun_2014,jun_2013,jun_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
College and Universities,10118145.0,9563517,9132770,8704214.0,5.8,4.7,4.9,5.1,554628.0,Education
"Elementary, Secondary Schools",2170362.0,2178995,2129052,1704879.0,-0.4,2.3,24.9,8.4,-8633.0,Education
Other Educational Services,931095.0,973254,973675,819508.0,-4.3,0.0,18.8,4.3,-42159.0,Education
Professional Services,12494282.0,12114767,11640103,11033623.0,3.1,4.1,5.5,4.2,379515.0,
Legal Services,4240710.0,4126112,4364324,4241862.0,2.8,-5.5,2.9,0.0,114598.0,Professional Services
Management Consulting,2246898.0,2336252,2191101,2049278.0,-3.8,6.6,6.9,3.1,-89354.0,Professional Services
Engineering & Architectural Services,1428891.0,1439374,1357837,1418733.0,-0.7,6.0,-4.3,0.2,-10483.0,Professional Services
Computer,1296306.0,1184168,1087649,1015919.0,9.5,8.9,7.1,8.5,112138.0,Professional Services
"Accounting, Auditing, Bookkeeping",1401477.0,1252254,1074147,1009235.0,11.9,16.6,6.4,11.6,149223.0,Professional Services
Advertising and Other Professional Services,1880000.0,1776607,1565045,1298598.0,5.8,13.5,20.5,13.1,103393.0,Professional Services
Hotels,1066829.0,941520,941489,907762.0,13.3,0.0,3.7,5.5,125309.0,
Restaurants,3173509.0,3018192,3099739,2829338.0,5.1,-2.6,9.6,3.9,155318.0,
Sport Teams,926219.0,1433041,1102226,1444327.0,-35.4,30.0,-23.7,-13.8,-506822.0,
"Arts, Entertainment, and Other Recreation",1038226.0,984218,879788,833912.0,5.5,11.9,5.5,7.6,54008.0,
Other Sectors,8741645.0,8498201,8329920,7674188.0,2.9,2.0,8.5,4.4,243444.0,
Membership Organizations,2546416.0,2497519,2564909,2334453.0,2.0,-2.6,9.9,2.9,48897.0,Other Sectors
Employment/Outsourcing Agencies,2005355.0,1902091,1800650,1705511.0,5.4,5.6,5.6,5.5,103264.0,Other Sectors
Security and Investigation Services,597465.0,584214,577405,534080.0,2.3,1.2,8.1,3.8,13251.0,Other Sectors
Services to Buildings,898077.0,896371,848905,774716.0,0.2,5.6,9.6,5.0,1706.0,Other Sectors
Miscellaneous Sectors,2694332.0,2618006,2538052,2325428.0,2.9,3.2,9.1,5.0,76326.0,Other Sectors
Government,23866242.0,20884230,21865635,21893166.0,14.3,-4.5,-0.1,2.9,2982012.0,
State Government (PA),1213050.0,1158449,1150835,894117.0,4.7,0.7,28.7,10.7,54601.0,Government
"City, School District, Local Quasi Govt.",11016157.0,8503972,8861842,8803675.0,29.5,-4.0,0.7,7.8,2512185.0,Government
Federal Government,11475881.0,11064450,11685178,12024986.0,3.7,-5.3,-2.8,-1.5,411431.0,Government
Other Governments,161155.0,157358,167781,170388.0,2.4,-6.2,-1.5,-1.8,3796.0,Government
Unclassified Accounts,130240.0,158310,88308,86199.0,-17.7,79.3,2.4,14.7,-28069.0,
