name,fiscal_year,total,month_name,month,fiscal_month,year,date
other_nontax,2022,4022505.0,apr,4,10,2022,2022-04-01
liquor,2022,7043929.0,apr,4,10,2022,2022-04-01
use_and_occupancy,2022,14719917.0,apr,4,10,2022,2022-04-01
other_nontax,2022,1675815.0,mar,3,9,2022,2022-03-01
real_estate,2022,420199610.0,mar,3,9,2022,2022-03-01
school_income,2022,1191028.0,mar,3,9,2022,2022-03-01
use_and_occupancy,2022,17309275.0,mar,3,9,2022,2022-03-01
liquor,2022,5342760.0,mar,3,9,2022,2022-03-01
total_revenue,2022,445718488.0,mar,3,9,2022,2022-03-01
total_revenue,2022,103468923.0,feb,2,8,2022,2022-02-01
other_nontax,2022,0.0,feb,2,8,2022,2022-02-01
liquor,2022,4467582.0,feb,2,8,2022,2022-02-01
use_and_occupancy,2022,13743176.0,feb,2,8,2022,2022-02-01
school_income,2022,272958.0,feb,2,8,2022,2022-02-01
real_estate,2022,84985207.0,feb,2,8,2022,2022-02-01
use_and_occupancy,2022,20656141.0,jan,1,7,2022,2022-01-01
total_revenue,2022,80052392.0,jan,1,7,2022,2022-01-01
school_income,2022,908250.0,jan,1,7,2022,2022-01-01
liquor,2022,6065891.0,jan,1,7,2022,2022-01-01
other_nontax,2022,4619.0,jan,1,7,2022,2022-01-01
real_estate,2022,52417490.0,jan,1,7,2022,2022-01-01
liquor,2022,7663830.0,dec,12,6,2021,2021-12-01
use_and_occupancy,2022,15242489.0,dec,12,6,2021,2021-12-01
school_income,2022,331220.0,dec,12,6,2021,2021-12-01
real_estate,2022,43817417.0,dec,12,6,2021,2021-12-01
other_nontax,2022,0.0,dec,12,6,2021,2021-12-01
total_revenue,2022,67054956.0,dec,12,6,2021,2021-12-01
real_estate,2022,5278496.0,nov,11,5,2021,2021-11-01
total_revenue,2022,25018083.0,nov,11,5,2021,2021-11-01
other_nontax,2022,0.0,nov,11,5,2021,2021-11-01
liquor,2022,4570489.0,nov,11,5,2021,2021-11-01
use_and_occupancy,2022,14185541.0,nov,11,5,2021,2021-11-01
school_income,2022,983557.0,nov,11,5,2021,2021-11-01
use_and_occupancy,2022,13478657.0,oct,10,4,2021,2021-10-01
real_estate,2022,4791731.0,oct,10,4,2021,2021-10-01
liquor,2022,5785213.0,oct,10,4,2021,2021-10-01
school_income,2022,1615579.0,oct,10,4,2021,2021-10-01
other_nontax,2022,0.0,oct,10,4,2021,2021-10-01
total_revenue,2022,25671181.0,oct,10,4,2021,2021-10-01
total_revenue,2022,28311801.0,sep,9,3,2021,2021-09-01
other_nontax,2022,0.0,sep,9,3,2021,2021-09-01
liquor,2022,6113046.0,sep,9,3,2021,2021-09-01
use_and_occupancy,2022,14840452.0,sep,9,3,2021,2021-09-01
school_income,2022,932966.0,sep,9,3,2021,2021-09-01
real_estate,2022,6425337.0,sep,9,3,2021,2021-09-01
real_estate,2022,9172010.0,aug,8,2,2021,2021-08-01
school_income,2022,846075.0,aug,8,2,2021,2021-08-01
use_and_occupancy,2022,14534697.0,aug,8,2,2021,2021-08-01
liquor,2022,6013100.0,aug,8,2,2021,2021-08-01
other_nontax,2022,0.0,aug,8,2,2021,2021-08-01
total_revenue,2022,30565882.0,aug,8,2,2021,2021-08-01
other_nontax,2022,1320951.0,jul,7,1,2021,2021-07-01
total_revenue,2022,31477674.0,jul,7,1,2021,2021-07-01
liquor,2022,5696327.0,jul,7,1,2021,2021-07-01
real_estate,2022,8775154.0,jul,7,1,2021,2021-07-01
school_income,2022,645334.0,jul,7,1,2021,2021-07-01
use_and_occupancy,2022,15039908.0,jul,7,1,2021,2021-07-01
liquor,2021,5486780.0,jun,6,12,2021,2021-06-01
use_and_occupancy,2021,16260837.0,jun,6,12,2021,2021-06-01
