category,parent_category,year,fiscal_year,fiscal_quarter,variable,value,date
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2015,3,num_records,10.0,2015-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2015,3,total,1636210.0,2015-01-01
Industrial (88-4),Nonresidential,2015,2015,3,total,2048071.0,2015-01-01
Residential,,2014,2015,2,num_records,7239.0,2014-10-01
Total,,2014,2015,2,num_records,7837.0,2014-10-01
Condominiums (88-8),Residential,2014,2015,2,num_records,500.0,2014-10-01
Condominiums (88-8),Residential,2014,2015,2,total,5193021.0,2014-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2015,2,num_records,24.0,2014-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2015,2,total,8187167.0,2014-10-01
Unclassified,,2014,2015,2,num_records,129.0,2014-10-01
Unclassified,,2014,2015,2,total,8936.0,2014-10-01
Residential,,2014,2015,2,total,33067977.0,2014-10-01
Nonresidential,,2014,2015,2,num_records,469.0,2014-10-01
Nonresidential,,2014,2015,2,total,16834806.0,2014-10-01
Industrial (88-4),Nonresidential,2014,2015,2,num_records,84.0,2014-10-01
Apartments (88-1),Residential,2014,2015,2,total,5093414.0,2014-10-01
Apartments (88-1),Residential,2014,2015,2,num_records,78.0,2014-10-01
Industrial (88-4),Nonresidential,2014,2015,2,total,1042315.0,2014-10-01
General Commercial (88-2),Nonresidential,2014,2015,2,num_records,114.0,2014-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2015,2,total,3192662.0,2014-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2015,2,num_records,247.0,2014-10-01
General Commercial (88-2),Nonresidential,2014,2015,2,total,4412662.0,2014-10-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2015,2,num_records,6661.0,2014-10-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2015,2,total,22781541.0,2014-10-01
Total,,2014,2015,2,total,49911719.0,2014-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2015,1,total,6294135.0,2014-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2015,1,num_records,19.0,2014-07-01
General Commercial (88-2),Nonresidential,2014,2015,1,num_records,123.0,2014-07-01
Nonresidential,,2014,2015,1,total,12291489.0,2014-07-01
Condominiums (88-8),Residential,2014,2015,1,num_records,627.0,2014-07-01
Condominiums (88-8),Residential,2014,2015,1,total,7407715.0,2014-07-01
Apartments (88-1),Residential,2014,2015,1,num_records,63.0,2014-07-01
Nonresidential,,2014,2015,1,num_records,467.0,2014-07-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2015,1,num_records,7156.0,2014-07-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2015,1,total,26004053.0,2014-07-01
Residential,,2014,2015,1,total,35690529.0,2014-07-01
General Commercial (88-2),Nonresidential,2014,2015,1,total,2253611.0,2014-07-01
Residential,,2014,2015,1,num_records,7846.0,2014-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2015,1,num_records,245.0,2014-07-01
Total,,2014,2015,1,num_records,8452.0,2014-07-01
Unclassified,,2014,2015,1,num_records,139.0,2014-07-01
Total,,2014,2015,1,total,48012860.0,2014-07-01
Unclassified,,2014,2015,1,total,30842.0,2014-07-01
Industrial (88-4),Nonresidential,2014,2015,1,num_records,80.0,2014-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2015,1,total,2381290.0,2014-07-01
Industrial (88-4),Nonresidential,2014,2015,1,total,1362453.0,2014-07-01
Apartments (88-1),Residential,2014,2015,1,total,2278762.0,2014-07-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2014,4,num_records,6701.0,2014-04-01
Apartments (88-1),Residential,2014,2014,4,total,2925241.0,2014-04-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2014,4,total,23321591.0,2014-04-01
Industrial (88-4),Nonresidential,2014,2014,4,total,1133799.0,2014-04-01
Industrial (88-4),Nonresidential,2014,2014,4,num_records,74.0,2014-04-01
Nonresidential,,2014,2014,4,total,15086259.0,2014-04-01
Nonresidential,,2014,2014,4,num_records,420.0,2014-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2014,4,total,2602192.0,2014-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2014,4,num_records,205.0,2014-04-01
General Commercial (88-2),Nonresidential,2014,2014,4,num_records,121.0,2014-04-01
General Commercial (88-2),Nonresidential,2014,2014,4,total,3636017.0,2014-04-01
Total,,2014,2014,4,total,48276420.0,2014-04-01
Total,,2014,2014,4,num_records,7871.0,2014-04-01
Apartments (88-1),Residential,2014,2014,4,num_records,45.0,2014-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2014,4,num_records,20.0,2014-04-01
Residential,,2014,2014,4,total,33084574.0,2014-04-01
Residential,,2014,2014,4,num_records,7313.0,2014-04-01
Unclassified,,2014,2014,4,total,105587.0,2014-04-01
Unclassified,,2014,2014,4,num_records,138.0,2014-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2014,4,total,7714251.0,2014-04-01
Condominiums (88-8),Residential,2014,2014,4,num_records,567.0,2014-04-01
Condominiums (88-8),Residential,2014,2014,4,total,6837742.0,2014-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2014,3,total,927698.0,2014-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2014,2014,3,num_records,10.0,2014-01-01
Unclassified,,2014,2014,3,num_records,111.0,2014-01-01
Unclassified,,2014,2014,3,total,46865.0,2014-01-01
Condominiums (88-8),Residential,2014,2014,3,num_records,362.0,2014-01-01
Condominiums (88-8),Residential,2014,2014,3,total,4508023.0,2014-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2014,3,num_records,93.0,2014-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2014,2014,3,total,1261695.0,2014-01-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2014,3,total,15991034.0,2014-01-01
Residential,,2014,2014,3,total,27957309.0,2014-01-01
Apartments (88-1),Residential,2014,2014,3,num_records,47.0,2014-01-01
Total,,2014,2014,3,num_records,6021.0,2014-01-01
Total,,2014,2014,3,total,35708543.0,2014-01-01
Apartments (88-1),Residential,2014,2014,3,total,7458252.0,2014-01-01
Residential,,2014,2014,3,num_records,5639.0,2014-01-01
Industrial (88-4),Nonresidential,2014,2014,3,total,1875482.0,2014-01-01
General Commercial (88-2),Nonresidential,2014,2014,3,num_records,84.0,2014-01-01
General Commercial (88-2),Nonresidential,2014,2014,3,total,3639495.0,2014-01-01
Industrial (88-4),Nonresidential,2014,2014,3,num_records,84.0,2014-01-01
Nonresidential,,2014,2014,3,total,7704370.0,2014-01-01
Nonresidential,,2014,2014,3,num_records,271.0,2014-01-01
Single/Multi-family Homes (01 thur 76),Residential,2014,2014,3,num_records,5230.0,2014-01-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2014,2,total,19766087.0,2013-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2014,2,total,6122858.0,2013-10-01
Total,,2013,2014,2,total,39248211.0,2013-10-01
Nonresidential,,2013,2014,2,total,11583225.0,2013-10-01
Nonresidential,,2013,2014,2,num_records,368.0,2013-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2014,2,num_records,15.0,2013-10-01
Residential,,2013,2014,2,total,27584977.0,2013-10-01
Residential,,2013,2014,2,num_records,6600.0,2013-10-01
Unclassified,,2013,2014,2,total,80008.0,2013-10-01
Unclassified,,2013,2014,2,num_records,142.0,2013-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2014,2,total,2044202.0,2013-10-01
Condominiums (88-8),Residential,2013,2014,2,total,5925372.0,2013-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2014,2,num_records,134.0,2013-10-01
General Commercial (88-2),Nonresidential,2013,2014,2,total,2182717.0,2013-10-01
General Commercial (88-2),Nonresidential,2013,2014,2,num_records,100.0,2013-10-01
Industrial (88-4),Nonresidential,2013,2014,2,num_records,119.0,2013-10-01
Apartments (88-1),Residential,2013,2014,2,num_records,50.0,2013-10-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2014,2,num_records,6007.0,2013-10-01
Industrial (88-4),Nonresidential,2013,2014,2,total,1233448.0,2013-10-01
Apartments (88-1),Residential,2013,2014,2,total,1893519.0,2013-10-01
Condominiums (88-8),Residential,2013,2014,2,num_records,543.0,2013-10-01
Total,,2013,2014,2,num_records,7110.0,2013-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2014,1,num_records,122.0,2013-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2014,1,total,1822118.0,2013-07-01
General Commercial (88-2),Nonresidential,2013,2014,1,num_records,49.0,2013-07-01
Industrial (88-4),Nonresidential,2013,2014,1,total,1004943.0,2013-07-01
Apartments (88-1),Residential,2013,2014,1,num_records,48.0,2013-07-01
General Commercial (88-2),Nonresidential,2013,2014,1,total,827174.0,2013-07-01
Apartments (88-1),Residential,2013,2014,1,total,2184456.0,2013-07-01
Industrial (88-4),Nonresidential,2013,2014,1,num_records,81.0,2013-07-01
Residential,,2013,2014,1,total,33664843.0,2013-07-01
Nonresidential,,2013,2014,1,total,4684578.0,2013-07-01
Nonresidential,,2013,2014,1,num_records,261.0,2013-07-01
Condominiums (88-8),Residential,2013,2014,1,total,6835457.0,2013-07-01
Condominiums (88-8),Residential,2013,2014,1,num_records,628.0,2013-07-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2014,1,total,24644930.0,2013-07-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2014,1,num_records,6584.0,2013-07-01
Residential,,2013,2014,1,num_records,7260.0,2013-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2014,1,num_records,9.0,2013-07-01
Unclassified,,2013,2014,1,num_records,140.0,2013-07-01
Unclassified,,2013,2014,1,total,7061.0,2013-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2014,1,total,1030343.0,2013-07-01
Total,,2013,2014,1,total,38356482.0,2013-07-01
Total,,2013,2014,1,num_records,7661.0,2013-07-01
Industrial (88-4),Nonresidential,2013,2013,4,total,2115160.0,2013-04-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2013,4,num_records,6953.0,2013-04-01
Industrial (88-4),Nonresidential,2013,2013,4,num_records,103.0,2013-04-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2013,4,total,22428900.0,2013-04-01
General Commercial (88-2),Nonresidential,2013,2013,4,num_records,71.0,2013-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2013,4,total,1679019.0,2013-04-01
Unclassified,,2013,2013,4,total,11643.0,2013-04-01
Nonresidential,,2013,2013,4,total,7846535.0,2013-04-01
Residential,,2013,2013,4,num_records,7613.0,2013-04-01
Condominiums (88-8),Residential,2013,2013,4,total,7847579.0,2013-04-01
Condominiums (88-8),Residential,2013,2013,4,num_records,612.0,2013-04-01
Residential,,2013,2013,4,total,31951300.0,2013-04-01
Unclassified,,2013,2013,4,num_records,114.0,2013-04-01
Total,,2013,2013,4,total,39809478.0,2013-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2013,4,num_records,22.0,2013-04-01
Total,,2013,2013,4,num_records,8051.0,2013-04-01
General Commercial (88-2),Nonresidential,2013,2013,4,total,3157069.0,2013-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2013,4,total,895287.0,2013-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2013,4,num_records,128.0,2013-04-01
Apartments (88-1),Residential,2013,2013,4,total,1674822.0,2013-04-01
Apartments (88-1),Residential,2013,2013,4,num_records,48.0,2013-04-01
Nonresidential,,2013,2013,4,num_records,324.0,2013-04-01
Apartments (88-1),Residential,2013,2013,3,total,2177251.0,2013-01-01
Condominiums (88-8),Residential,2013,2013,3,num_records,480.0,2013-01-01
Industrial (88-4),Nonresidential,2013,2013,3,total,1440314.0,2013-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2013,3,total,7316082.0,2013-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2013,3,num_records,99.0,2013-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2013,2013,3,total,1096670.0,2013-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2013,2013,3,num_records,18.0,2013-01-01
Nonresidential,,2013,2013,3,total,12888534.0,2013-01-01
Residential,,2013,2013,3,num_records,6520.0,2013-01-01
Residential,,2013,2013,3,total,23216159.0,2013-01-01
Nonresidential,,2013,2013,3,num_records,272.0,2013-01-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2013,3,num_records,5995.0,2013-01-01
Unclassified,,2013,2013,3,total,29273.0,2013-01-01
Single/Multi-family Homes (01 thur 76),Residential,2013,2013,3,total,16219032.0,2013-01-01
Industrial (88-4),Nonresidential,2013,2013,3,num_records,80.0,2013-01-01
General Commercial (88-2),Nonresidential,2013,2013,3,total,3035468.0,2013-01-01
Total,,2013,2013,3,num_records,6923.0,2013-01-01
Total,,2013,2013,3,total,36133966.0,2013-01-01
General Commercial (88-2),Nonresidential,2013,2013,3,num_records,75.0,2013-01-01
Condominiums (88-8),Residential,2013,2013,3,total,4819875.0,2013-01-01
Unclassified,,2013,2013,3,num_records,131.0,2013-01-01
Apartments (88-1),Residential,2013,2013,3,num_records,45.0,2013-01-01
