name,fiscal_year,total,month_name,month,fiscal_month,year,date,kind
soda,2022,6253163.0,jan,1,7,2022,2022-01-01,Tax
net_profits,2022,1171208.0,jan,1,7,2022,2022-01-01,Tax
all_taxes,2022,340548265.0,jan,1,7,2022,2022-01-01,Tax
outdoor_ads,2022,213495.0,jan,1,7,2022,2022-01-01,Tax
real_estate,2022,43014632.0,jan,1,7,2022,2022-01-01,Tax
wage_city,2022,177456048.0,jan,1,7,2022,2022-01-01,Tax
wage_pica,2022,57636434.0,jan,1,7,2022,2022-01-01,Tax
wage,2022,235092483.0,jan,1,7,2022,2022-01-01,Tax
earnings_city,2022,585064.0,jan,1,7,2022,2022-01-01,Tax
earnings_pica,2022,296845.0,jan,1,7,2022,2022-01-01,Tax
earnings,2022,881909.0,jan,1,7,2022,2022-01-01,Tax
net_profits_city,2022,678848.0,jan,1,7,2022,2022-01-01,Tax
net_profits_pica,2022,492359.0,jan,1,7,2022,2022-01-01,Tax
other_taxes,2022,3330136.0,jan,1,7,2022,2022-01-01,Tax
parking,2022,6940800.0,jan,1,7,2022,2022-01-01,Tax
amusement,2022,1884346.0,jan,1,7,2022,2022-01-01,Tax
wage_earnings_net_profits,2022,237145599.0,jan,1,7,2022,2022-01-01,Tax
real_estate_transfer,2022,58258587.0,jan,1,7,2022,2022-01-01,Tax
tobacco,2022,69839.0,jan,1,7,2022,2022-01-01,Tax
valet,2022,121340.0,jan,1,7,2022,2022-01-01,Tax
sales,2022,14739309.0,jan,1,7,2022,2022-01-01,Tax
birt,2022,27002657.0,jan,1,7,2022,2022-01-01,Tax
wage_earnings_net_profits_city,2022,178719961.0,jan,1,7,2022,2022-01-01,Tax
wage_earnings_net_profits_pica,2022,58425639.0,jan,1,7,2022,2022-01-01,Tax
net_profits_city,2022,-529537.0,dec,12,6,2021,2021-12-01,Tax
real_estate,2022,36069260.0,dec,12,6,2021,2021-12-01,Tax
wage_city,2022,139119298.0,dec,12,6,2021,2021-12-01,Tax
wage_pica,2022,44738104.0,dec,12,6,2021,2021-12-01,Tax
wage,2022,183857402.0,dec,12,6,2021,2021-12-01,Tax
earnings_city,2022,406931.0,dec,12,6,2021,2021-12-01,Tax
earnings_pica,2022,253387.0,dec,12,6,2021,2021-12-01,Tax
earnings,2022,660318.0,dec,12,6,2021,2021-12-01,Tax
real_estate_transfer,2022,67384136.0,dec,12,6,2021,2021-12-01,Tax
wage_earnings_net_profits_city,2022,138996692.0,dec,12,6,2021,2021-12-01,Tax
net_profits_pica,2022,32921.0,dec,12,6,2021,2021-12-01,Tax
net_profits,2022,-496616.0,dec,12,6,2021,2021-12-01,Tax
wage_earnings_net_profits,2022,184021104.0,dec,12,6,2021,2021-12-01,Tax
wage_earnings_net_profits_pica,2022,45024412.0,dec,12,6,2021,2021-12-01,Tax
birt,2022,66507655.0,dec,12,6,2021,2021-12-01,Tax
sales,2022,15807648.0,dec,12,6,2021,2021-12-01,Tax
amusement,2022,1454546.0,dec,12,6,2021,2021-12-01,Tax
tobacco,2022,6515.0,dec,12,6,2021,2021-12-01,Tax
parking,2022,7357770.0,dec,12,6,2021,2021-12-01,Tax
other_taxes,2022,-5399717.0,dec,12,6,2021,2021-12-01,Tax
valet,2022,116862.0,dec,12,6,2021,2021-12-01,Tax
soda,2022,7142897.0,dec,12,6,2021,2021-12-01,Tax
all_taxes,2022,335870557.0,dec,12,6,2021,2021-12-01,Tax
outdoor_ads,2022,426293.0,dec,12,6,2021,2021-12-01,Tax
all_taxes,2022,229514998.0,nov,11,5,2021,2021-11-01,Tax
wage_pica,2022,45937678.0,nov,11,5,2021,2021-11-01,Tax
wage,2022,189385701.0,nov,11,5,2021,2021-11-01,Tax
earnings_city,2022,421669.0,nov,11,5,2021,2021-11-01,Tax
earnings_pica,2022,230809.0,nov,11,5,2021,2021-11-01,Tax
earnings,2022,652478.0,nov,11,5,2021,2021-11-01,Tax
net_profits_city,2022,756424.0,nov,11,5,2021,2021-11-01,Tax
net_profits_pica,2022,697294.0,nov,11,5,2021,2021-11-01,Tax
net_profits,2022,1453718.0,nov,11,5,2021,2021-11-01,Tax
wage_earnings_net_profits,2022,191491896.0,nov,11,5,2021,2021-11-01,Tax
wage_earnings_net_profits_pica,2022,46865781.0,nov,11,5,2021,2021-11-01,Tax
wage_earnings_net_profits_city,2022,144626116.0,nov,11,5,2021,2021-11-01,Tax
birt,2022,17250924.0,nov,11,5,2021,2021-11-01,Tax
amusement,2022,1465514.0,nov,11,5,2021,2021-11-01,Tax
tobacco,2022,212.0,nov,11,5,2021,2021-11-01,Tax
parking,2022,7026506.0,nov,11,5,2021,2021-11-01,Tax
valet,2022,164556.0,nov,11,5,2021,2021-11-01,Tax
real_estate_transfer,2022,25682932.0,nov,11,5,2021,2021-11-01,Tax
outdoor_ads,2022,271977.0,nov,11,5,2021,2021-11-01,Tax
soda,2022,4753218.0,nov,11,5,2021,2021-11-01,Tax
other_taxes,2022,6699593.0,nov,11,5,2021,2021-11-01,Tax
sales,2022,17203237.0,nov,11,5,2021,2021-11-01,Tax
wage_city,2022,143448023.0,nov,11,5,2021,2021-11-01,Tax
real_estate,2022,4370214.0,nov,11,5,2021,2021-11-01,Tax
wage_city,2022,118413814.0,oct,10,4,2021,2021-10-01,Tax
birt,2022,21105208.0,oct,10,4,2021,2021-10-01,Tax
real_estate,2022,3922560.0,oct,10,4,2021,2021-10-01,Tax
other_taxes,2022,2365.0,oct,10,4,2021,2021-10-01,Tax
soda,2022,8151477.0,oct,10,4,2021,2021-10-01,Tax
outdoor_ads,2022,272223.0,oct,10,4,2021,2021-10-01,Tax
real_estate_transfer,2022,17175476.0,oct,10,4,2021,2021-10-01,Tax
valet,2022,127992.0,oct,10,4,2021,2021-10-01,Tax
parking,2022,6536147.0,oct,10,4,2021,2021-10-01,Tax
tobacco,2022,1387.0,oct,10,4,2021,2021-10-01,Tax
amusement,2022,1924747.0,oct,10,4,2021,2021-10-01,Tax
sales,2022,15253752.0,oct,10,4,2021,2021-10-01,Tax
all_taxes,2022,194546942.0,oct,10,4,2021,2021-10-01,Tax
wage_earnings_net_profits_city,2022,120073608.0,oct,10,4,2021,2021-10-01,Tax
wage_earnings_net_profits,2022,159158774.0,oct,10,4,2021,2021-10-01,Tax
net_profits,2022,2220940.0,oct,10,4,2021,2021-10-01,Tax
net_profits_pica,2022,1047617.0,oct,10,4,2021,2021-10-01,Tax
net_profits_city,2022,1173323.0,oct,10,4,2021,2021-10-01,Tax
earnings,2022,752307.0,oct,10,4,2021,2021-10-01,Tax
earnings_pica,2022,265836.0,oct,10,4,2021,2021-10-01,Tax
earnings_city,2022,486471.0,oct,10,4,2021,2021-10-01,Tax
wage,2022,156185527.0,oct,10,4,2021,2021-10-01,Tax
wage_pica,2022,37771713.0,oct,10,4,2021,2021-10-01,Tax
wage_earnings_net_profits_pica,2022,39085166.0,oct,10,4,2021,2021-10-01,Tax
tobacco,2022,228.0,sep,9,3,2021,2021-09-01,Tax
birt,2022,31976151.0,sep,9,3,2021,2021-09-01,Tax
sales,2022,16317889.0,sep,9,3,2021,2021-09-01,Tax
amusement,2022,2230208.0,sep,9,3,2021,2021-09-01,Tax
outdoor_ads,2022,321778.0,sep,9,3,2021,2021-09-01,Tax
parking,2022,6893701.0,sep,9,3,2021,2021-09-01,Tax
valet,2022,153598.0,sep,9,3,2021,2021-09-01,Tax
real_estate_transfer,2022,23237147.0,sep,9,3,2021,2021-09-01,Tax
wage_earnings_net_profits_pica,2022,41687508.0,sep,9,3,2021,2021-09-01,Tax
soda,2022,6583207.0,sep,9,3,2021,2021-09-01,Tax
wage_earnings_net_profits_city,2022,120648349.0,sep,9,3,2021,2021-09-01,Tax
earnings,2022,673697.0,sep,9,3,2021,2021-09-01,Tax
wage_earnings_net_profits,2022,162335857.0,sep,9,3,2021,2021-09-01,Tax
net_profits,2022,3813386.0,sep,9,3,2021,2021-09-01,Tax
net_profits_pica,2022,1798774.0,sep,9,3,2021,2021-09-01,Tax
net_profits_city,2022,2014611.0,sep,9,3,2021,2021-09-01,Tax
earnings_pica,2022,238058.0,sep,9,3,2021,2021-09-01,Tax
earnings_city,2022,435639.0,sep,9,3,2021,2021-09-01,Tax
wage,2022,157848775.0,sep,9,3,2021,2021-09-01,Tax
wage_pica,2022,39650676.0,sep,9,3,2021,2021-09-01,Tax
real_estate,2022,5266274.0,sep,9,3,2021,2021-09-01,Tax
all_taxes,2022,213644430.0,sep,9,3,2021,2021-09-01,Tax
other_taxes,2022,15900.0,sep,9,3,2021,2021-09-01,Tax
wage_city,2022,118198099.0,sep,9,3,2021,2021-09-01,Tax
tobacco,2022,245.0,aug,8,2,2021,2021-08-01,Tax
wage_earnings_net_profits,2022,178806777.0,aug,8,2,2021,2021-08-01,Tax
other_taxes,2022,0.0,aug,8,2,2021,2021-08-01,Tax
soda,2022,6823060.0,aug,8,2,2021,2021-08-01,Tax
outdoor_ads,2022,211593.0,aug,8,2,2021,2021-08-01,Tax
real_estate_transfer,2022,25224360.0,aug,8,2,2021,2021-08-01,Tax
valet,2022,159681.0,aug,8,2,2021,2021-08-01,Tax
parking,2022,6518161.0,aug,8,2,2021,2021-08-01,Tax
amusement,2022,5429130.0,aug,8,2,2021,2021-08-01,Tax
sales,2022,34486394.0,aug,8,2,2021,2021-08-01,Tax
birt,2022,7870899.0,aug,8,2,2021,2021-08-01,Tax
wage_earnings_net_profits_pica,2022,46772815.0,aug,8,2,2021,2021-08-01,Tax
wage_earnings_net_profits_city,2022,132033963.0,aug,8,2,2021,2021-08-01,Tax
