sector,num_accounts,net_income,gross_receipts,total,tax_year,parent_sector
Financial Investment Services,414.0,9174895.0,7611685.0,16786580.0,2013,
Construction,7117.0,11674249.0,9180700.0,,2013,
Manufacturing,2483.0,16745850.0,5196499.0,21942349.0,2013,
Food and Beverage Products,355.0,1513642.0,1229699.0,2743341.0,2013,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",226.0,6476058.0,606325.0,7082383.0,2013,Manufacturing
Wholesale Trade,2895.0,12446628.0,11828760.0,24275388.0,2013,
Other Manufacturing,1902.0,8756150.0,3360475.0,12116625.0,2013,Manufacturing
Transportation and Storage,1012.0,3433337.0,1226336.0,4659673.0,2013,
Information,1050.0,17208025.0,3712223.0,20920248.0,2013,
Publishing,215.0,3072521.0,350846.0,3423367.0,2013,Information
Broadcasting (TV and Radio),47.0,2448599.0,508519.0,2957118.0,2013,Information
Telecommunications,176.0,10283950.0,2156597.0,12440547.0,2013,Information
Other Information,612.0,1402955.0,696261.0,2099216.0,2013,Information
Banking and Related Activities,296.0,1591151.0,1057330.0,2648481.0,2013,
Business Support Services,3401.0,5517230.0,3007276.0,8524506.0,2012,
"Accounting, Tax and Payroll Services",825.0,14645095.0,1219814.0,15864909.0,2012,Professional Services
Architect and Engineering,1013.0,2804041.0,1145887.0,3949928.0,2012,Professional Services
Computer Services,792.0,3159176.0,1120771.0,4279947.0,2012,Professional Services
Management and Technical Consulting,2528.0,9698450.0,2412624.0,12111074.0,2012,Professional Services
Advertising,352.0,1416374.0,488112.0,1904486.0,2012,Professional Services
Other Professional Services,2102.0,3537736.0,766930.0,4304666.0,2012,Professional Services
Unclassified,13517.0,6455554.0,1156016.0,7611570.0,2012,
Educational Services,894.0,1527757.0,536892.0,2064649.0,2012,
Health and Social Services,5495.0,17353978.0,6613083.0,23967061.0,2012,
Sports,34.0,2780796.0,860711.0,3641507.0,2012,
Hotels and Other Accommodations,141.0,2028734.0,1143790.0,3172524.0,2012,
"Restaurants, Bars, and Other Food Services",4533.0,7117375.0,3830351.0,10947726.0,2012,
Other Personal Services,5502.0,6633042.0,1625316.0,8258358.0,2012,
All Other Sectors,3031.0,4882693.0,2985594.0,7868287.0,2012,
Legal Services,2801.0,62965347.0,4819162.0,67784509.0,2012,Professional Services
Professional Services,10413.0,98226219.0,11973300.0,110199519.0,2012,
Real Estate,34964.0,46508944.0,7628385.0,54137329.0,2012,
Transportation and Storage,983.0,2370433.0,1224485.0,3594918.0,2012,
Insurance,634.0,8721552.0,4709945.0,13431497.0,2012,
Manufacturing,2528.0,14636201.0,5379453.0,20015654.0,2012,
Food and Beverage Products,356.0,2003342.0,1290385.0,3293727.0,2012,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",232.0,5881733.0,1010471.0,6892204.0,2012,Manufacturing
Other Manufacturing,1940.0,6751126.0,3078597.0,9829723.0,2012,Manufacturing
Wholesale Trade,3000.0,18008673.0,11433256.0,29441929.0,2012,
Retail Trade,8489.0,19920579.0,15392846.0,35313425.0,2012,
Construction,7051.0,13210120.0,8075195.0,21285315.0,2012,
Information,1052.0,15483715.0,3717522.0,19201237.0,2012,
Broadcasting (TV and Radio),47.0,2958151.0,442096.0,3400247.0,2012,Information
Telecommunications,179.0,8704874.0,2161492.0,10866366.0,2012,Information
Other Information,604.0,924402.0,612052.0,1536454.0,2012,Information
Banking and Related Activities,309.0,1544008.0,1146556.0,2690564.0,2012,
Financial Investment Services,409.0,8273919.0,7012976.0,15286895.0,2012,
Publishing,222.0,2896288.0,501882.0,3398170.0,2012,Information
Business Support Services,3466.0,5406427.0,3067492.0,8473919.0,2011,
"Accounting, Tax and Payroll Services",852.0,12289257.0,1104120.0,13393377.0,2011,Professional Services
Architect and Engineering,1003.0,4868415.0,1239112.0,6107527.0,2011,Professional Services
Computer Services,795.0,3007873.0,1128297.0,4136170.0,2011,Professional Services
Management and Technical Consulting,2485.0,9620010.0,1993343.0,11613353.0,2011,Professional Services
Advertising,351.0,1294382.0,445320.0,1739702.0,2011,Professional Services
Other Professional Services,1952.0,2943549.0,719749.0,3663298.0,2011,Professional Services
Hotels and Other Accommodations,148.0,1094502.0,1055093.0,2149595.0,2011,
Educational Services,903.0,1679071.0,540064.0,2219135.0,2011,
Health and Social Services,5508.0,16791020.0,6314979.0,23105999.0,2011,
Sports,44.0,3712450.0,915861.0,4628311.0,2011,
"Restaurants, Bars, and Other Food Services",4577.0,6359232.0,3674229.0,10033461.0,2011,
Other Personal Services,5560.0,5892104.0,1632082.0,7524186.0,2011,
All Other Sectors,2938.0,6191398.0,2892200.0,9083598.0,2011,
Unclassified,13070.0,5776238.0,904642.0,6680880.0,2011,
Legal Services,2816.0,59590487.0,4714129.0,64304616.0,2011,Professional Services
Professional Services,10254.0,93613973.0,11344070.0,104958043.0,2011,
