category,fiscal_month,amount,fiscal_year,quarter,month
Opening Balance,11,502.9,2017,1,5
TRAN,11,-175.0,2017,1,5
Closing Balance,11,368.4,2017,1,5
Receipts - Disbursements,12,1.5,2017,1,6
Opening Balance,12,368.4,2017,1,6
TRAN,12,0.0,2017,1,6
Closing Balance,12,369.8,2017,1,6
Receipts - Disbursements,1,-124.2,2016,4,7
Opening Balance,1,400.4,2016,4,7
TRAN,1,0.0,2016,4,7
Closing Balance,1,276.2,2016,4,7
Receipts - Disbursements,2,71.0,2016,4,8
Opening Balance,2,276.2,2016,4,8
TRAN,2,175.0,2016,4,8
Closing Balance,2,522.2,2016,4,8
Receipts - Disbursements,3,0.0,2016,4,9
Opening Balance,3,522.2,2016,4,9
TRAN,3,0.0,2016,4,9
Closing Balance,3,522.3,2016,4,9
Receipts - Disbursements,4,-120.6,2016,4,10
Opening Balance,4,522.3,2016,4,10
TRAN,4,0.0,2016,4,10
Closing Balance,4,401.7,2016,4,10
Receipts - Disbursements,5,44.5,2016,4,11
Opening Balance,5,401.7,2016,4,11
TRAN,5,0.0,2016,4,11
Closing Balance,5,446.1,2016,4,11
Receipts - Disbursements,6,-56.9,2016,4,12
Opening Balance,6,446.1,2016,4,12
TRAN,6,0.0,2016,4,12
Closing Balance,6,389.2,2016,4,12
Receipts - Disbursements,7,6.6,2016,4,1
Opening Balance,7,389.2,2016,4,1
TRAN,7,0.0,2016,4,1
Closing Balance,7,395.8,2016,4,1
Receipts - Disbursements,8,383.2,2016,4,2
Opening Balance,8,395.8,2016,4,2
TRAN,8,0.0,2016,4,2
Closing Balance,8,779.0,2016,4,2
Receipts - Disbursements,9,-450.0,2016,4,3
Opening Balance,9,779.0,2016,4,3
TRAN,9,0.0,2016,4,3
Closing Balance,9,329.0,2016,4,3
Receipts - Disbursements,10,240.9,2016,4,4
Opening Balance,10,329.0,2016,4,4
TRAN,10,0.0,2016,4,4
Closing Balance,10,569.9,2016,4,4
Receipts - Disbursements,11,152.0,2016,4,5
Opening Balance,11,569.9,2016,4,5
TRAN,11,-175.0,2016,4,5
Closing Balance,11,546.9,2016,4,5
Receipts - Disbursements,12,-99.5,2016,4,6
Opening Balance,12,546.9,2016,4,6
TRAN,12,0.0,2016,4,6
Closing Balance,12,447.4,2016,4,6
Receipts - Disbursements,1,-124.2,2016,3,7
Opening Balance,1,400.4,2016,3,7
TRAN,1,0.0,2016,3,7
Closing Balance,1,276.2,2016,3,7
Receipts - Disbursements,2,71.0,2016,3,8
Opening Balance,2,276.2,2016,3,8
TRAN,2,175.0,2016,3,8
Closing Balance,2,522.2,2016,3,8
Receipts - Disbursements,3,0.0,2016,3,9
Opening Balance,3,522.2,2016,3,9
TRAN,3,0.0,2016,3,9
Closing Balance,3,522.3,2016,3,9
Receipts - Disbursements,4,-120.6,2016,3,10
Opening Balance,4,522.3,2016,3,10
TRAN,4,0.0,2016,3,10
Closing Balance,4,401.7,2016,3,10
Receipts - Disbursements,5,44.5,2016,3,11
Opening Balance,5,401.7,2016,3,11
TRAN,5,0.0,2016,3,11
Closing Balance,5,446.1,2016,3,11
Receipts - Disbursements,6,-56.9,2016,3,12
Opening Balance,6,446.1,2016,3,12
TRAN,6,0.0,2016,3,12
Closing Balance,6,389.2,2016,3,12
Receipts - Disbursements,7,6.6,2016,3,1
Opening Balance,7,389.2,2016,3,1
TRAN,7,0.0,2016,3,1
Closing Balance,7,395.8,2016,3,1
Receipts - Disbursements,8,383.2,2016,3,2
Opening Balance,8,395.8,2016,3,2
TRAN,8,0.0,2016,3,2
Closing Balance,8,779.0,2016,3,2
Receipts - Disbursements,9,-450.0,2016,3,3
Opening Balance,9,779.0,2016,3,3
TRAN,9,0.0,2016,3,3
Closing Balance,9,329.0,2016,3,3
Receipts - Disbursements,10,240.9,2016,3,4
Opening Balance,10,329.0,2016,3,4
TRAN,10,0.0,2016,3,4
Closing Balance,10,569.9,2016,3,4
Receipts - Disbursements,11,48.6,2016,3,5
Opening Balance,11,569.9,2016,3,5
TRAN,11,-175.0,2016,3,5
Closing Balance,11,443.5,2016,3,5
Receipts - Disbursements,12,-77.9,2016,3,6
Opening Balance,12,443.5,2016,3,6
TRAN,12,0.0,2016,3,6
Closing Balance,12,365.6,2016,3,6
Receipts - Disbursements,1,-124.2,2016,2,7
Opening Balance,1,400.4,2016,2,7
TRAN,1,0.0,2016,2,7
Closing Balance,1,276.2,2016,2,7
Receipts - Disbursements,2,71.0,2016,2,8
Opening Balance,2,276.2,2016,2,8
TRAN,2,175.0,2016,2,8
Closing Balance,2,522.2,2016,2,8
Receipts - Disbursements,3,0.0,2016,2,9
Opening Balance,3,522.2,2016,2,9
TRAN,3,0.0,2016,2,9
Closing Balance,3,522.3,2016,2,9
Receipts - Disbursements,4,-120.6,2016,2,10
Opening Balance,4,522.3,2016,2,10
TRAN,4,0.0,2016,2,10
Closing Balance,4,401.7,2016,2,10
Receipts - Disbursements,5,44.5,2016,2,11
Opening Balance,5,401.7,2016,2,11
TRAN,5,0.0,2016,2,11
Closing Balance,5,446.1,2016,2,11
Receipts - Disbursements,6,-56.9,2016,2,12
Opening Balance,6,446.1,2016,2,12
TRAN,6,0.0,2016,2,12
Closing Balance,6,389.2,2016,2,12
Receipts - Disbursements,7,6.6,2016,2,1
Opening Balance,7,389.2,2016,2,1
TRAN,7,0.0,2016,2,1
Closing Balance,7,395.8,2016,2,1
Receipts - Disbursements,8,329.2,2016,2,2
Opening Balance,8,395.8,2016,2,2
TRAN,8,0.0,2016,2,2
Closing Balance,8,725.0,2016,2,2
Receipts - Disbursements,9,-388.5,2016,2,3
Opening Balance,9,725.0,2016,2,3
TRAN,9,0.0,2016,2,3
Closing Balance,9,336.5,2016,2,3
Receipts - Disbursements,10,115.6,2016,2,4
Opening Balance,10,336.5,2016,2,4
TRAN,10,0.0,2016,2,4
Closing Balance,10,452.1,2016,2,4
Receipts - Disbursements,11,60.1,2016,2,5
Opening Balance,11,452.1,2016,2,5
TRAN,11,-175.0,2016,2,5
Closing Balance,11,337.2,2016,2,5
Receipts - Disbursements,12,-34.0,2016,2,6
Opening Balance,12,337.2,2016,2,6
TRAN,12,0.0,2016,2,6
Closing Balance,12,303.2,2016,2,6
Receipts - Disbursements,1,-118.5,2016,1,7
Opening Balance,1,400.4,2016,1,7
TRAN,1,0.0,2016,1,7
Closing Balance,1,281.9,2016,1,7
Receipts - Disbursements,2,71.0,2016,1,8
Opening Balance,2,281.9,2016,1,8
TRAN,2,175.0,2016,1,8
Closing Balance,2,528.0,2016,1,8
Receipts - Disbursements,3,-0.1,2016,1,9
Opening Balance,3,528.0,2016,1,9
TRAN,3,0.0,2016,1,9
Closing Balance,3,527.8,2016,1,9
Receipts - Disbursements,4,-120.3,2016,1,10
Opening Balance,4,527.8,2016,1,10
TRAN,4,0.0,2016,1,10
Closing Balance,4,407.5,2016,1,10
Receipts - Disbursements,5,4.3,2016,1,11
Opening Balance,5,407.5,2016,1,11
TRAN,5,0.0,2016,1,11
Closing Balance,5,411.8,2016,1,11
Receipts - Disbursements,6,-50.1,2016,1,12
Opening Balance,6,411.8,2016,1,12
TRAN,6,0.0,2016,1,12
Closing Balance,6,361.7,2016,1,12
Receipts - Disbursements,7,68.5,2016,1,1
Opening Balance,7,361.7,2016,1,1
TRAN,7,0.0,2016,1,1
Closing Balance,7,430.2,2016,1,1
Receipts - Disbursements,8,278.9,2016,1,2
Opening Balance,8,430.2,2016,1,2
TRAN,8,0.0,2016,1,2
Closing Balance,8,709.1,2016,1,2
Receipts - Disbursements,9,-369.2,2016,1,3
Opening Balance,9,709.1,2016,1,3
TRAN,9,0.0,2016,1,3
Closing Balance,9,339.8,2016,1,3
Receipts - Disbursements,10,119.0,2016,1,4
Opening Balance,10,339.8,2016,1,4
TRAN,10,0.0,2016,1,4
Closing Balance,10,458.9,2016,1,4
Receipts - Disbursements,11,86.6,2016,1,5
Opening Balance,11,458.9,2016,1,5
TRAN,11,-175.0,2016,1,5
Closing Balance,11,370.4,2016,1,5
Receipts - Disbursements,12,-33.7,2016,1,6
Opening Balance,12,370.4,2016,1,6
TRAN,12,0.0,2016,1,6
Closing Balance,12,336.8,2016,1,6
Receipts - Disbursements,1,-38.5,2015,4,7
Opening Balance,1,448.9,2015,4,7
TRAN,1,0.0,2015,4,7
Closing Balance,1,410.4,2015,4,7
Receipts - Disbursements,2,-58.5,2015,4,8
Opening Balance,2,410.4,2015,4,8
TRAN,2,0.0,2015,4,8
Closing Balance,2,352.0,2015,4,8
Receipts - Disbursements,3,-17.7,2015,4,9
Opening Balance,3,352.0,2015,4,9
TRAN,3,0.0,2015,4,9
Closing Balance,3,334.2,2015,4,9
Receipts - Disbursements,4,-73.9,2015,4,10
Opening Balance,4,334.2,2015,4,10
TRAN,4,0.0,2015,4,10
Closing Balance,4,260.3,2015,4,10
Receipts - Disbursements,5,11.8,2015,4,11
Opening Balance,5,260.3,2015,4,11
TRAN,5,130.0,2015,4,11
Closing Balance,5,402.1,2015,4,11
Receipts - Disbursements,6,-83.3,2015,4,12
Opening Balance,6,402.1,2015,4,12
TRAN,6,0.0,2015,4,12
Closing Balance,6,318.7,2015,4,12
Receipts - Disbursements,7,43.2,2015,4,1
Opening Balance,7,318.7,2015,4,1
TRAN,7,0.0,2015,4,1
Closing Balance,7,361.9,2015,4,1
Receipts - Disbursements,8,291.4,2015,4,2
Opening Balance,8,361.9,2015,4,2
TRAN,8,0.0,2015,4,2
Closing Balance,8,653.4,2015,4,2
Receipts - Disbursements,9,-315.6,2015,4,3
Opening Balance,9,653.4,2015,4,3
TRAN,9,0.0,2015,4,3
Closing Balance,9,337.8,2015,4,3
Receipts - Disbursements,10,210.5,2015,4,4
Opening Balance,10,337.8,2015,4,4
TRAN,10,0.0,2015,4,4
Closing Balance,10,548.3,2015,4,4
Receipts - Disbursements,11,-9.6,2015,4,5
Opening Balance,11,548.3,2015,4,5
TRAN,11,-130.0,2015,4,5
Closing Balance,11,408.7,2015,4,5
Receipts - Disbursements,12,-8.3,2015,4,6
Opening Balance,12,408.7,2015,4,6
TRAN,12,0.0,2015,4,6
Closing Balance,12,400.4,2015,4,6
Receipts - Disbursements,1,-38.5,2015,3,7
Opening Balance,1,448.9,2015,3,7
TRAN,1,0.0,2015,3,7
Closing Balance,1,410.4,2015,3,7
Receipts - Disbursements,2,-58.5,2015,3,8
Opening Balance,2,410.4,2015,3,8
TRAN,2,0.0,2015,3,8
Closing Balance,2,351.9,2015,3,8
Receipts - Disbursements,3,-17.7,2015,3,9
Opening Balance,3,351.9,2015,3,9
TRAN,3,0.0,2015,3,9
Closing Balance,3,334.2,2015,3,9
Receipts - Disbursements,4,-73.9,2015,3,10
Opening Balance,4,334.2,2015,3,10
TRAN,4,0.0,2015,3,10
Closing Balance,4,260.2,2015,3,10
Receipts - Disbursements,5,11.8,2015,3,11
Opening Balance,5,260.2,2015,3,11
TRAN,5,130.0,2015,3,11
Closing Balance,5,402.0,2015,3,11
Receipts - Disbursements,6,-81.0,2015,3,12
Opening Balance,6,402.0,2015,3,12
TRAN,6,0.0,2015,3,12
Closing Balance,6,321.0,2015,3,12
Receipts - Disbursements,7,43.2,2015,3,1
Opening Balance,7,321.0,2015,3,1
TRAN,7,0.0,2015,3,1
Closing Balance,7,364.2,2015,3,1
Receipts - Disbursements,8,288.6,2015,3,2
Opening Balance,8,364.2,2015,3,2
TRAN,8,0.0,2015,3,2
Closing Balance,8,652.7,2015,3,2
Receipts - Disbursements,9,-315.6,2015,3,3
Opening Balance,9,652.7,2015,3,3
TRAN,9,0.0,2015,3,3
Closing Balance,9,337.1,2015,3,3
Receipts - Disbursements,10,210.5,2015,3,4
Opening Balance,10,337.1,2015,3,4
TRAN,10,0.0,2015,3,4
Closing Balance,10,547.7,2015,3,4
Receipts - Disbursements,11,-1.3,2015,3,5
Opening Balance,11,547.7,2015,3,5
TRAN,11,-130.0,2015,3,5
Closing Balance,11,416.4,2015,3,5
Receipts - Disbursements,12,-49.0,2015,3,6
Opening Balance,12,416.4,2015,3,6
TRAN,12,0.0,2015,3,6
Closing Balance,12,367.4,2015,3,6
Receipts - Disbursements,1,-39.0,2015,2,7
Opening Balance,1,448.9,2015,2,7
TRAN,1,0.0,2015,2,7
Closing Balance,1,409.9,2015,2,7
Receipts - Disbursements,2,-58.5,2015,2,8
Opening Balance,2,409.9,2015,2,8
TRAN,2,0.0,2015,2,8
Closing Balance,2,351.5,2015,2,8
Receipts - Disbursements,3,-18.0,2015,2,9
Opening Balance,3,351.5,2015,2,9
TRAN,3,0.0,2015,2,9
Closing Balance,3,333.4,2015,2,9
Receipts - Disbursements,4,-74.3,2015,2,10
Opening Balance,4,333.4,2015,2,10
TRAN,4,0.0,2015,2,10
Closing Balance,4,259.1,2015,2,10
Receipts - Disbursements,5,11.8,2015,2,11
Opening Balance,5,259.1,2015,2,11
TRAN,5,130.0,2015,2,11
Closing Balance,5,400.9,2015,2,11
Receipts - Disbursements,6,-78.8,2015,2,12
Opening Balance,6,400.9,2015,2,12
TRAN,6,0.0,2015,2,12
Closing Balance,6,322.1,2015,2,12
Receipts - Disbursements,7,43.2,2015,2,1
Opening Balance,7,322.1,2015,2,1
TRAN,7,0.0,2015,2,1
Closing Balance,7,365.3,2015,2,1
Receipts - Disbursements,8,306.8,2015,2,2
Opening Balance,8,365.3,2015,2,2
TRAN,8,0.0,2015,2,2
Closing Balance,8,672.1,2015,2,2
Receipts - Disbursements,9,-308.5,2015,2,3
Opening Balance,9,672.1,2015,2,3
TRAN,9,0.0,2015,2,3
Closing Balance,9,363.6,2015,2,3
Receipts - Disbursements,10,45.0,2015,2,4
Opening Balance,10,363.6,2015,2,4
TRAN,10,0.0,2015,2,4
Closing Balance,10,408.6,2015,2,4
Receipts - Disbursements,11,82.9,2015,2,5
Opening Balance,11,408.6,2015,2,5
TRAN,11,-130.0,2015,2,5
Closing Balance,11,361.5,2015,2,5
Receipts - Disbursements,12,-55.6,2015,2,6
Opening Balance,12,361.5,2015,2,6
TRAN,12,0.0,2015,2,6
Closing Balance,12,305.9,2015,2,6
Receipts - Disbursements,1,-39.0,2015,1,7
Opening Balance,1,448.9,2015,1,7
TRAN,1,0.0,2015,1,7
Closing Balance,1,409.9,2015,1,7
Receipts - Disbursements,2,-58.5,2015,1,8
Opening Balance,2,409.9,2015,1,8
TRAN,2,0.0,2015,1,8
Closing Balance,2,351.5,2015,1,8
Receipts - Disbursements,3,-18.0,2015,1,9
Opening Balance,3,351.5,2015,1,9
TRAN,3,0.0,2015,1,9
Closing Balance,3,333.4,2015,1,9
Receipts - Disbursements,4,-74.3,2015,1,10
Opening Balance,4,333.4,2015,1,10
TRAN,4,0.0,2015,1,10
Closing Balance,4,259.1,2015,1,10
Receipts - Disbursements,5,-90.9,2015,1,11
Opening Balance,5,259.1,2015,1,11
TRAN,5,130.0,2015,1,11
Closing Balance,5,298.2,2015,1,11
Receipts - Disbursements,6,-54.5,2015,1,12
Opening Balance,6,298.2,2015,1,12
TRAN,6,0.0,2015,1,12
Closing Balance,6,243.8,2015,1,12
Receipts - Disbursements,7,29.6,2015,1,1
Opening Balance,7,243.8,2015,1,1
TRAN,7,0.0,2015,1,1
Closing Balance,7,273.3,2015,1,1
Receipts - Disbursements,8,298.9,2015,1,2
Opening Balance,8,273.3,2015,1,2
TRAN,8,0.0,2015,1,2
Closing Balance,8,572.3,2015,1,2
Receipts - Disbursements,9,-281.3,2015,1,3
Opening Balance,9,572.3,2015,1,3
TRAN,9,0.0,2015,1,3
Closing Balance,9,290.9,2015,1,3
Receipts - Disbursements,10,69.7,2015,1,4
Opening Balance,10,290.9,2015,1,4
TRAN,10,0.0,2015,1,4
Closing Balance,10,360.7,2015,1,4
Receipts - Disbursements,11,102.3,2015,1,5
Opening Balance,11,360.7,2015,1,5
TRAN,11,-130.0,2015,1,5
Closing Balance,11,333.0,2015,1,5
Receipts - Disbursements,12,-41.3,2015,1,6
Opening Balance,12,333.0,2015,1,6
TRAN,12,0.0,2015,1,6
Closing Balance,12,291.6,2015,1,6
Receipts - Disbursements,1,-19.5,2014,4,7
Opening Balance,1,434.3,2014,4,7
TRAN,1,0.0,2014,4,7
Closing Balance,1,414.8,2014,4,7
Receipts - Disbursements,2,-36.6,2014,4,8
Opening Balance,2,414.8,2014,4,8
TRAN,2,0.0,2014,4,8
Closing Balance,2,378.2,2014,4,8
Receipts - Disbursements,3,55.1,2014,4,9
Opening Balance,3,378.2,2014,4,9
TRAN,3,0.0,2014,4,9
Closing Balance,3,433.3,2014,4,9
Receipts - Disbursements,4,-108.8,2014,4,10
Opening Balance,4,433.3,2014,4,10
TRAN,4,0.0,2014,4,10
Closing Balance,4,324.4,2014,4,10
Receipts - Disbursements,5,-112.3,2014,4,11
Opening Balance,5,324.4,2014,4,11
TRAN,5,0.0,2014,4,11
Closing Balance,5,212.1,2014,4,11
Receipts - Disbursements,6,-43.2,2014,4,12
Opening Balance,6,212.1,2014,4,12
TRAN,6,100.0,2014,4,12
Closing Balance,6,268.9,2014,4,12
Receipts - Disbursements,7,48.4,2014,4,1
Opening Balance,7,268.9,2014,4,1
TRAN,7,0.0,2014,4,1
Closing Balance,7,317.3,2014,4,1
Receipts - Disbursements,8,181.9,2014,4,2
Opening Balance,8,317.3,2014,4,2
TRAN,8,0.0,2014,4,2
Closing Balance,8,499.2,2014,4,2
Receipts - Disbursements,9,-287.1,2014,4,3
Opening Balance,9,499.2,2014,4,3
TRAN,9,0.0,2014,4,3
Closing Balance,9,212.1,2014,4,3
Receipts - Disbursements,10,148.2,2014,4,4
Opening Balance,10,212.1,2014,4,4
TRAN,10,0.0,2014,4,4
Closing Balance,10,360.4,2014,4,4
Receipts - Disbursements,11,129.8,2014,4,5
Opening Balance,11,360.4,2014,4,5
TRAN,11,-100.0,2014,4,5
Closing Balance,11,390.2,2014,4,5
Receipts - Disbursements,12,58.7,2014,4,6
Opening Balance,12,390.2,2014,4,6
TRAN,12,0.0,2014,4,6
Closing Balance,12,448.9,2014,4,6
Receipts - Disbursements,1,-19.5,2014,3,7
Opening Balance,1,434.3,2014,3,7
TRAN,1,0.0,2014,3,7
Closing Balance,1,414.8,2014,3,7
Receipts - Disbursements,2,-36.6,2014,3,8
Opening Balance,2,414.8,2014,3,8
TRAN,2,0.0,2014,3,8
Closing Balance,2,378.2,2014,3,8
Receipts - Disbursements,3,55.1,2014,3,9
Opening Balance,3,378.2,2014,3,9
TRAN,3,0.0,2014,3,9
Closing Balance,3,433.3,2014,3,9
Receipts - Disbursements,4,-108.8,2014,3,10
Opening Balance,4,433.3,2014,3,10
TRAN,4,0.0,2014,3,10
Closing Balance,4,324.4,2014,3,10
Receipts - Disbursements,5,-112.3,2014,3,11
Opening Balance,5,324.4,2014,3,11
TRAN,5,0.0,2014,3,11
Closing Balance,5,212.1,2014,3,11
Receipts - Disbursements,6,-43.2,2014,3,12
Opening Balance,6,212.1,2014,3,12
TRAN,6,100.0,2014,3,12
Closing Balance,6,268.9,2014,3,12
Receipts - Disbursements,7,48.4,2014,3,1
Opening Balance,7,268.9,2014,3,1
TRAN,7,0.0,2014,3,1
Closing Balance,7,317.3,2014,3,1
Receipts - Disbursements,8,181.9,2014,3,2
Opening Balance,8,317.3,2014,3,2
TRAN,8,0.0,2014,3,2
Closing Balance,8,499.2,2014,3,2
Receipts - Disbursements,9,-287.1,2014,3,3
Opening Balance,9,499.2,2014,3,3
TRAN,9,0.0,2014,3,3
Closing Balance,9,212.1,2014,3,3
Receipts - Disbursements,10,141.7,2014,3,4
Opening Balance,10,212.1,2014,3,4
TRAN,10,0.0,2014,3,4
Closing Balance,10,353.8,2014,3,4
Receipts - Disbursements,11,120.6,2014,3,5
Opening Balance,11,353.8,2014,3,5
TRAN,11,-100.0,2014,3,5
Closing Balance,11,374.4,2014,3,5
Receipts - Disbursements,12,-58.3,2014,3,6
Opening Balance,12,374.4,2014,3,6
TRAN,12,0.0,2014,3,6
Closing Balance,12,316.1,2014,3,6
Receipts - Disbursements,1,-19.5,2014,2,7
Opening Balance,1,434.3,2014,2,7
TRAN,1,0.0,2014,2,7
Closing Balance,1,414.8,2014,2,7
Receipts - Disbursements,2,-36.6,2014,2,8
Opening Balance,2,414.8,2014,2,8
TRAN,2,0.0,2014,2,8
Closing Balance,2,378.2,2014,2,8
Receipts - Disbursements,3,55.1,2014,2,9
Opening Balance,3,378.2,2014,2,9
TRAN,3,0.0,2014,2,9
Closing Balance,3,433.3,2014,2,9
Receipts - Disbursements,4,-108.8,2014,2,10
Opening Balance,4,433.3,2014,2,10
TRAN,4,0.0,2014,2,10
Closing Balance,4,324.4,2014,2,10
Receipts - Disbursements,5,-112.3,2014,2,11
Opening Balance,5,324.4,2014,2,11
TRAN,5,0.0,2014,2,11
Closing Balance,5,212.1,2014,2,11
Receipts - Disbursements,6,-43.2,2014,2,12
Opening Balance,6,212.1,2014,2,12
TRAN,6,100.0,2014,2,12
Closing Balance,6,268.9,2014,2,12
Receipts - Disbursements,7,48.4,2014,2,1
Opening Balance,7,268.9,2014,2,1
TRAN,7,0.0,2014,2,1
Closing Balance,7,317.3,2014,2,1
Receipts - Disbursements,8,181.9,2014,2,2
Opening Balance,8,317.3,2014,2,2
TRAN,8,0.0,2014,2,2
Closing Balance,8,499.2,2014,2,2
Receipts - Disbursements,9,-287.1,2014,2,3
Opening Balance,9,499.2,2014,2,3
TRAN,9,0.0,2014,2,3
Closing Balance,9,212.1,2014,2,3
Receipts - Disbursements,10,141.7,2014,2,4
Opening Balance,10,212.1,2014,2,4
TRAN,10,0.0,2014,2,4
Closing Balance,10,353.8,2014,2,4
Receipts - Disbursements,11,120.6,2014,2,5
Opening Balance,11,353.8,2014,2,5
TRAN,11,-100.0,2014,2,5
Closing Balance,11,374.4,2014,2,5
Receipts - Disbursements,12,-58.3,2014,2,6
Opening Balance,12,374.4,2014,2,6
TRAN,12,0.0,2014,2,6
Closing Balance,12,316.1,2014,2,6
Receipts - Disbursements,1,-19.5,2014,1,7
Opening Balance,1,434.3,2014,1,7
TRAN,1,0.0,2014,1,7
Closing Balance,1,414.8,2014,1,7
Receipts - Disbursements,2,-36.6,2014,1,8
Opening Balance,2,414.8,2014,1,8
TRAN,2,0.0,2014,1,8
Closing Balance,2,378.2,2014,1,8
Receipts - Disbursements,3,55.1,2014,1,9
Opening Balance,3,378.2,2014,1,9
TRAN,3,0.0,2014,1,9
Closing Balance,3,433.3,2014,1,9
Receipts - Disbursements,4,-108.8,2014,1,10
Opening Balance,4,433.3,2014,1,10
TRAN,4,0.0,2014,1,10
Closing Balance,4,324.4,2014,1,10
Receipts - Disbursements,5,-78.8,2014,1,11
Opening Balance,5,324.4,2014,1,11
TRAN,5,0.0,2014,1,11
Closing Balance,5,245.6,2014,1,11
Receipts - Disbursements,6,-65.5,2014,1,12
Opening Balance,6,245.6,2014,1,12
TRAN,6,100.0,2014,1,12
Closing Balance,6,280.1,2014,1,12
Receipts - Disbursements,7,43.8,2014,1,1
Opening Balance,7,280.1,2014,1,1
TRAN,7,0.0,2014,1,1
Closing Balance,7,323.9,2014,1,1
Receipts - Disbursements,8,136.5,2014,1,2
Opening Balance,8,323.9,2014,1,2
TRAN,8,0.0,2014,1,2
Closing Balance,8,460.3,2014,1,2
Receipts - Disbursements,9,-226.0,2014,1,3
Opening Balance,9,460.3,2014,1,3
TRAN,9,0.0,2014,1,3
Closing Balance,9,234.3,2014,1,3
Receipts - Disbursements,10,58.8,2014,1,4
Opening Balance,10,234.3,2014,1,4
TRAN,10,0.0,2014,1,4
Closing Balance,10,293.1,2014,1,4
Receipts - Disbursements,11,143.0,2014,1,5
Opening Balance,11,293.1,2014,1,5
TRAN,11,-100.0,2014,1,5
Closing Balance,11,336.1,2014,1,5
Receipts - Disbursements,12,-38.2,2014,1,6
Opening Balance,12,336.1,2014,1,6
TRAN,12,0.0,2014,1,6
Closing Balance,12,297.9,2014,1,6
Receipts - Disbursements,1,-12.4,2013,4,7
Opening Balance,1,280.7,2013,4,7
TRAN,1,0.0,2013,4,7
Closing Balance,1,268.3,2013,4,7
Receipts - Disbursements,2,-55.3,2013,4,8
Opening Balance,2,268.3,2013,4,8
TRAN,2,0.0,2013,4,8
Closing Balance,2,213.0,2013,4,8
Receipts - Disbursements,3,57.2,2013,4,9
Opening Balance,3,213.0,2013,4,9
TRAN,3,0.0,2013,4,9
Closing Balance,3,270.2,2013,4,9
Receipts - Disbursements,4,-47.4,2013,4,10
Opening Balance,4,270.2,2013,4,10
TRAN,4,0.0,2013,4,10
Closing Balance,4,222.7,2013,4,10
Receipts - Disbursements,5,-47.6,2013,4,11
Opening Balance,5,222.7,2013,4,11
TRAN,5,0.0,2013,4,11
Closing Balance,5,175.1,2013,4,11
Receipts - Disbursements,6,-24.2,2013,4,12
Opening Balance,6,175.1,2013,4,12
TRAN,6,127.0,2013,4,12
Closing Balance,6,278.0,2013,4,12
Receipts - Disbursements,7,50.8,2013,4,1
Opening Balance,7,278.0,2013,4,1
TRAN,7,0.0,2013,4,1
Closing Balance,7,328.7,2013,4,1
Receipts - Disbursements,8,218.3,2013,4,2
Opening Balance,8,328.7,2013,4,2
TRAN,8,0.0,2013,4,2
Closing Balance,8,547.0,2013,4,2
Receipts - Disbursements,9,-71.3,2013,4,3
Opening Balance,9,547.0,2013,4,3
TRAN,9,0.0,2013,4,3
Closing Balance,9,475.7,2013,4,3
Receipts - Disbursements,10,16.1,2013,4,4
Opening Balance,10,475.7,2013,4,4
TRAN,10,0.0,2013,4,4
Closing Balance,10,491.8,2013,4,4
Receipts - Disbursements,11,45.7,2013,4,5
Opening Balance,11,491.8,2013,4,5
TRAN,11,-127.0,2013,4,5
Closing Balance,11,410.5,2013,4,5
Receipts - Disbursements,12,23.8,2013,4,6
Opening Balance,12,410.5,2013,4,6
TRAN,12,0.0,2013,4,6
Closing Balance,12,434.3,2013,4,6
Receipts - Disbursements,1,-12.4,2013,3,7
Opening Balance,1,280.7,2013,3,7
TRAN,1,0.0,2013,3,7
Closing Balance,1,268.3,2013,3,7
Receipts - Disbursements,2,-55.3,2013,3,8
Opening Balance,2,268.3,2013,3,8
TRAN,2,0.0,2013,3,8
Closing Balance,2,213.0,2013,3,8
Receipts - Disbursements,3,57.2,2013,3,9
Opening Balance,3,213.0,2013,3,9
TRAN,3,0.0,2013,3,9
Closing Balance,3,270.2,2013,3,9
Receipts - Disbursements,4,-47.4,2013,3,10
Opening Balance,4,270.2,2013,3,10
TRAN,4,0.0,2013,3,10
Closing Balance,4,222.7,2013,3,10
Receipts - Disbursements,5,-47.6,2013,3,11
Opening Balance,5,222.7,2013,3,11
TRAN,5,0.0,2013,3,11
Closing Balance,5,175.1,2013,3,11
Receipts - Disbursements,6,-24.2,2013,3,12
Opening Balance,6,175.1,2013,3,12
TRAN,6,127.0,2013,3,12
Closing Balance,6,278.0,2013,3,12
Receipts - Disbursements,7,50.8,2013,3,1
Opening Balance,7,278.0,2013,3,1
TRAN,7,0.0,2013,3,1
Closing Balance,7,328.7,2013,3,1
Receipts - Disbursements,8,218.3,2013,3,2
Opening Balance,8,328.7,2013,3,2
TRAN,8,0.0,2013,3,2
Closing Balance,8,547.0,2013,3,2
Receipts - Disbursements,9,-71.3,2013,3,3
Opening Balance,9,547.0,2013,3,3
TRAN,9,0.0,2013,3,3
Closing Balance,9,475.7,2013,3,3
Receipts - Disbursements,10,16.1,2013,3,4
Opening Balance,10,475.7,2013,3,4
TRAN,10,0.0,2013,3,4
Closing Balance,10,491.8,2013,3,4
Receipts - Disbursements,11,19.1,2013,3,5
Opening Balance,11,491.8,2013,3,5
TRAN,11,-127.0,2013,3,5
Closing Balance,11,383.9,2013,3,5
Receipts - Disbursements,12,-87.1,2013,3,6
