name,kind,fiscal_year,total,month_name,month,fiscal_month,year,date
wage_earnings_net_profits,total,2022,191491896.0,nov,11,5,2021,2021-11-01
wage_earnings_net_profits_pica,total,2022,46865781.0,nov,11,5,2021,2021-11-01
wage_earnings_net_profits_city,total,2022,144626116.0,nov,11,5,2021,2021-11-01
birt,current,2022,16477362.0,nov,11,5,2021,2021-11-01
birt,prior,2022,773562.0,nov,11,5,2021,2021-11-01
sales,total,2022,17203237.0,nov,11,5,2021,2021-11-01
amusement,total,2022,1465514.0,nov,11,5,2021,2021-11-01
tobacco,total,2022,212.0,nov,11,5,2021,2021-11-01
parking,total,2022,7026506.0,nov,11,5,2021,2021-11-01
valet,total,2022,164556.0,nov,11,5,2021,2021-11-01
real_estate_transfer,total,2022,25682932.0,nov,11,5,2021,2021-11-01
outdoor_ads,total,2022,271977.0,nov,11,5,2021,2021-11-01
soda,current,2022,4728483.0,nov,11,5,2021,2021-11-01
soda,prior,2022,24735.0,nov,11,5,2021,2021-11-01
net_profits_pica,current,2022,580394.0,nov,11,5,2021,2021-11-01
net_profits_city,total,2022,756424.0,nov,11,5,2021,2021-11-01
construction,impact,2022,0.0,nov,11,5,2021,2021-11-01
wage_pica,total,2022,45937678.0,nov,11,5,2021,2021-11-01
real_estate,current,2022,2864751.0,nov,11,5,2021,2021-11-01
real_estate,prior,2022,1505463.0,nov,11,5,2021,2021-11-01
real_estate,total,2022,4370214.0,nov,11,5,2021,2021-11-01
wage_city,current,2022,143182888.0,nov,11,5,2021,2021-11-01
wage_city,prior,2022,265135.0,nov,11,5,2021,2021-11-01
wage_city,total,2022,143448023.0,nov,11,5,2021,2021-11-01
wage_pica,current,2022,45852822.0,nov,11,5,2021,2021-11-01
wage_pica,prior,2022,84856.0,nov,11,5,2021,2021-11-01
wage,total,2022,189385701.0,nov,11,5,2021,2021-11-01
net_profits_city,prior,2022,130927.0,nov,11,5,2021,2021-11-01
earnings_city,current,2022,360416.0,nov,11,5,2021,2021-11-01
earnings_city,prior,2022,61253.0,nov,11,5,2021,2021-11-01
earnings_city,total,2022,421669.0,nov,11,5,2021,2021-11-01
earnings_pica,current,2022,197337.0,nov,11,5,2021,2021-11-01
earnings_pica,prior,2022,33472.0,nov,11,5,2021,2021-11-01
earnings_pica,total,2022,230809.0,nov,11,5,2021,2021-11-01
